Epoch,Num trials,Number correct,Time
0,15800,970,27.985751789994538
1,15800,2353,23.272482172993477
2,15800,4714,23.71023497794522
3,15800,7044,23.587895295000635
4,15800,8526,23.439609310997184
5,15800,8722,22.43408807803644
6,15800,9688,22.616308915021364
7,15800,10164,22.642096730007324
8,15800,10437,22.55910547397798
9,15800,10909,22.412999992026016
10,15800,11323,22.397776151949074
11,15800,11599,22.4613887250307
12,15800,11891,22.390001123014372
13,15800,12235,22.35539776395308
14,15800,12317,22.115353405999485
15,15800,12504,21.98688519600546
16,15800,12854,21.839512153994292
17,15800,12840,21.656607381009962
18,15800,13107,21.653530479990877
19,15800,13201,21.64004357496742
20,15800,13366,21.53825878002681
21,15800,13413,21.45811077399412
22,15800,13494,21.35772041900782
23,15800,13655,21.382904161990155
24,15800,13791,21.23336484399624
25,15800,13758,21.21601141197607
26,15800,13822,21.10442096699262
27,15800,13950,21.095952501986176
28,15800,14013,21.04278479795903
29,15800,14092,21.042065222049132
30,15800,14096,21.023074608994648
31,15800,14244,21.090359985013492
32,15800,14255,20.963038805988617
33,15800,14287,20.93558304803446
34,15800,14336,20.88639931799844
35,15800,14349,20.830481497978326
36,15800,14456,20.788241240021307
37,15800,14513,20.803202641021926
38,15800,14475,20.793459717999212
39,15800,14442,20.745955371006858
40,15800,14554,20.738449393946212
41,15800,14537,20.746612186019775
42,15800,14569,20.671528594975825
43,15800,14647,20.688903167960234
44,15800,14599,20.60499132302357
45,15800,14660,20.611271941976156
46,15800,14726,20.694719648978207
47,15800,14697,20.640055964991916
48,15800,14779,20.720517214969732
49,15800,14725,20.657294892997015
