Epoch,Num trials,Number correct,Time
0,15800,934,54.534695053938776
1,15800,2222,39.444375389954075
2,15800,4200,38.52722569787875
3,15800,6136,37.493326920084655
4,15800,7910,37.09656145214103
5,15800,9107,37.05721099022776
6,15800,9880,36.63165005110204
7,15800,10299,36.14752793079242
8,15800,11185,36.61223123688251
9,15800,11350,36.04353880789131
10,15800,11995,36.046253458131105
11,15800,12326,35.98170421202667
12,15800,12270,35.58136399881914
13,15800,12783,35.95861792494543
14,15800,13096,35.86546573601663
15,15800,13211,35.637196216965094
16,15800,13451,35.609417819883674
17,15800,13515,35.39516394608654
18,15800,13767,35.47330016992055
19,15800,13898,35.57143353787251
20,15800,13866,35.594978598179296
21,15800,14072,35.75085570500232
22,15800,14068,35.35116668394767
23,15800,14156,35.52838621311821
24,15800,14259,35.420931428903714
25,15800,14340,35.56470211991109
26,15800,14413,35.46767236897722
27,15800,14463,35.48021411593072
28,15800,14436,35.35147057683207
29,15800,14507,35.446279018884525
30,15800,14566,35.454168940894306
31,15800,14636,35.32166993687861
32,15800,14661,35.44800021313131
33,15800,14689,35.37953265989199
34,15800,14761,35.56724656699225
35,15800,14758,35.466130702989176
36,15800,14743,35.44412171188742
37,15800,14795,35.28140619187616
38,15800,14821,35.37626786599867
39,15800,14880,35.56322996201925
40,15800,14888,35.42217704304494
41,15800,14847,35.50900970585644
42,15800,14856,35.6714116409421
43,15800,14936,35.6715043510776
44,15800,14904,35.68078548507765
45,15800,14964,35.71641496592201
46,15800,14905,35.76651497697458
47,15800,14949,35.75218160194345
48,15800,15025,35.835721920011565
49,15800,14933,35.76752611109987
