Epoch,Num trials,Number correct,Time
0,75466,3329,138.0461991049815
1,75466,9315,117.76945879100822
2,75466,14662,116.95834554394241
3,75466,18568,113.83531534706708
4,75466,21855,113.47377685003448
5,75466,25156,114.54093566001393
6,75466,27779,115.15585698094219
7,75466,29506,117.32119020901155
8,75466,30815,117.91651661205105
9,75466,31635,119.22573197004385
10,75466,32746,119.53216634399723
11,75466,33329,121.05317030195147
12,75466,34535,121.71979354706127
13,75466,35045,123.1639559440082
14,75466,35690,123.8035214120755
15,75466,36396,124.07850070297718
16,75466,37050,124.18566431500949
17,75466,37483,125.26499482500367
18,75466,37861,125.21790088200942
19,75466,38359,125.62138298002537
20,75466,38264,126.342512942967
21,75466,38450,127.18434586306103
22,75466,38664,126.33955131703988
23,75466,39223,126.61357472196687
24,75466,39259,126.80949551193044
25,75466,40047,127.8249471130548
26,75466,40155,127.95179826696403
27,75466,40514,128.76150762406178
28,75466,40462,128.28420009103138
29,75466,41092,128.98181436304003
30,75466,41023,128.5924281500047
31,75466,41296,128.65701167099178
32,75466,41319,128.6355374819832
33,75466,41718,129.19740591698792
34,75466,41774,129.52164390904363
35,75466,42104,130.01090786594432
36,75466,41714,129.9867874069605
37,75466,42673,130.34053060109727
38,75466,42555,130.4181830799207
39,75466,42388,130.13140130101237
40,75466,42700,130.27153131505474
41,75466,43010,130.80437727901153
42,75466,42999,131.11065545293968
43,75466,43024,131.7926606789697
44,75466,42912,132.14775187894702
45,75466,42691,132.33873364899773
46,75466,43245,131.965344150085
47,75466,42019,131.738764625974
48,75466,43182,132.47074391995557
49,75466,43500,132.17920184705872
