Epoch,Num trials,Number correct,Time
0,15800,1870,101.66238033398986
1,15800,5453,75.47964541398687
2,15800,7888,72.78651094302768
3,15800,9848,74.3386993400054
4,15800,10989,74.89527142699808
5,15800,11647,73.41540439700475
6,15800,12293,72.9814618009841
7,15800,12661,71.68868634704268
8,15800,12860,71.09620512399124
9,15800,13004,70.0198882939876
10,15800,13268,69.56865077203838
11,15800,13592,69.65449525002623
12,15800,13667,69.11552313499851
13,15800,13791,68.63255054503679
14,15800,14037,68.66170251602307
15,15800,14071,68.12081721203867
16,15800,13005,61.24688487901585
17,15800,14159,63.02248178399168
18,15800,14345,64.68220618501073
19,15800,13589,63.43251357303234
20,15800,14311,63.9294847510173
21,15800,14477,65.0920943589881
22,15800,14572,65.59270442504203
23,15800,14630,65.80824027600465
24,15800,14608,65.92500291200122
25,15800,14055,62.35336512100184
26,15800,14497,64.06661229598103
27,15800,14662,65.22928402002435
28,15800,14722,65.46912564698141
29,15800,14736,65.6769550559693
30,15800,14706,65.28258355200524
31,15800,14660,65.29881210497115
32,15800,14700,65.32078540098155
33,15800,14778,65.55389739002567
34,15800,14534,62.81981681304751
35,15800,14680,63.964201667986345
36,15800,14816,65.45845273096347
37,15800,14892,65.89364540699171
38,15800,14921,66.13953117001802
39,15800,14864,65.91997677995823
40,15800,14830,65.68780412699562
41,15800,14943,66.05426776403328
42,15800,14931,65.7912856710027
43,15800,14889,65.55523524899036
44,15800,14912,65.85641244798899
45,15800,14936,66.15248943801271
46,15800,14973,65.96115107298829
47,15800,14939,66.26676590001443
48,15800,15057,66.31193113396876
49,15800,15036,66.27023392601404
