Epoch,Num trials,Number correct,Time
0,75466,6420,239.37508016603533
1,75466,16237,199.85822736506816
2,75466,21889,193.24499913095497
3,75466,26850,195.62033412395976
4,75466,30507,201.31375253002625
5,75466,32816,202.22160617506597
6,75466,34003,205.0308198989369
7,75466,35656,207.00547626195475
8,75466,36931,208.55781953700352
9,75466,37758,209.21243468998
10,75466,38154,209.19802044308744
11,75466,39634,210.78789651498664
12,75466,40277,210.98957402200904
13,75466,40972,212.0516829059925
14,75466,41428,211.8992420959985
15,75466,41278,212.59391149203293
16,75466,41872,214.08669012296014
17,75466,42680,212.41639838402625
18,75466,43576,213.00720937806182
19,75466,43117,212.16136775095947
20,75466,43900,213.37694945104886
21,75466,44277,212.85005113703664
22,75466,43438,209.8148502460681
23,75466,44152,212.14409750001505
24,75466,44135,210.5312154830899
25,75466,44980,212.39545957709197
26,75466,44598,212.07387197599746
27,75466,44480,210.82080973300617
28,75466,44580,212.9472564480966
29,75466,45341,214.4745526460465
30,75466,45445,212.69042008300312
31,75466,45242,213.27330145798624
32,75466,45027,212.66425493196584
33,75466,45442,214.57502442703117
34,75466,45567,215.0135271709878
35,75466,45331,216.02518095599953
36,75466,45191,215.86642405507155
37,75466,44792,216.69509264105
38,75466,45002,216.6826825889293
39,75466,44844,216.78040600707754
40,75466,44343,216.25480248604435
41,75466,44795,220.12606072891504
42,75466,45172,220.86758061603177
43,75466,45065,220.40593264403287
44,75466,45373,221.84780120500363
45,75466,45220,221.7103037390625
46,75466,41460,211.36340399004985
47,75466,37766,205.12638833897654
48,75466,39674,213.5900895820232
49,75466,43146,221.21165257203393
