Epoch,Num trials,Number correct,Time
0,75466,6338,238.02428248303477
1,75466,16504,198.42313141399063
2,75466,22215,191.8573878930183
3,75466,26805,195.23494327103253
4,75466,29608,202.37822251801845
5,75466,32461,204.81612022896297
6,75466,34264,206.88890948996413
7,75466,36162,207.7622150440002
8,75466,37057,207.6499389699893
9,75466,37713,206.6642348190071
10,75466,39397,208.179572989
11,75466,39687,205.04026905691717
12,75466,41307,208.14910158293787
13,75466,41998,207.1859221040504
14,75466,41883,207.5533170440467
15,75466,42206,208.13530430407263
16,75466,42249,210.35244481696282
17,75466,42346,208.2586835459806
18,75466,43583,211.69323869491927
19,75466,42550,209.53544351097662
20,75466,42941,211.1820501849288
21,75466,43768,214.76293885009363
22,75466,43816,216.084431092022
23,75466,44074,214.15219206002075
24,75466,44215,217.23082359798718
25,75466,44873,219.10713318700437
26,75466,44626,218.1853867410682
27,75466,45002,217.62786757701542
28,75466,44813,218.00639664696064
29,75466,44665,218.17461281607393
30,75466,44773,218.81792416097596
31,75466,44406,218.17549513000995
32,75466,44820,219.20214170892723
33,75466,44869,219.79180460399948
34,75466,44835,220.54538090305869
35,75466,43089,218.70766470301896
36,75466,44964,221.4372647709679
37,75466,43987,221.12694112106692
38,75466,43950,224.76210608903784
39,75466,43797,225.5392021869775
40,75466,44643,225.84503884904552
41,75466,42833,221.09494978701696
42,75466,42338,220.49464240507223
43,75466,44349,226.1172173449304
44,75466,41193,216.34462463809177
45,75466,41632,222.3947292168159
46,75466,43469,228.66606942890212
47,75466,43536,227.44223929103464
48,75466,42891,227.75692932493985
49,75466,43699,229.0433771791868
50,75466,43964,229.36247869604267
51,75466,43883,229.04638319695368
52,75466,44321,230.17576461681165
53,75466,44355,230.27844594116323
54,75466,44695,231.80030625103973
55,75466,44757,230.7342193510849
56,75466,44561,231.0733341081068
57,75466,44733,230.0239821828436
58,75466,44729,231.31178484717384
59,75466,45328,231.22248075995594
60,75466,45386,230.47099245805293
61,75466,45000,228.98195681814104
62,75466,45582,230.54800145188347
63,75466,42647,227.0170602670405
64,75466,44477,233.4361891259905
65,75466,45564,233.2901244778186
66,75466,45398,232.06492042099126
67,75466,44870,232.72556037595496
68,75466,45291,232.6957912328653
69,75466,45669,233.75502686901018
70,75466,45977,233.72879325202666
71,75466,45550,235.45721626095474
72,75466,45491,235.8641977577936
73,75466,44168,234.20568259595893
74,75466,45196,236.47858173493296
75,75466,43730,234.9114561919123
76,75466,44218,237.29304986004718
77,75466,45403,238.01730281789787
78,75466,46108,238.42618231195956
79,75466,46132,237.7775816328358
80,75466,45834,237.3892136598006
81,75466,46477,237.41208607703447
82,75466,46781,237.08697701897472
83,75466,46903,237.77482567587867
84,75466,46820,236.49219673802145
85,75466,46852,237.34135526814498
86,75466,46904,237.17276312410831
87,75466,46931,237.0368678360246
88,75466,46504,236.1511445529759
89,75466,46858,236.25847509596497
90,75466,47044,236.53525609103963
91,75466,46892,236.29529440612532
92,75466,46746,236.52512006112374
93,75466,46736,236.55991462082602
94,75466,46984,237.19717480498366
95,75466,46560,237.26357990293764
96,75466,46709,236.42146624298766
97,75466,46692,236.11331196315587
98,75466,46700,236.7013948939275
99,75466,46861,236.0172871549148
